"Nom de l'annonce","Produit","Créateur","Type de contenu","Angle marketing","Hook","Audience","Mois","Nom Ad Set","Nom Campagne","Statut","Date de lancement","Personnes touchées","Impressions","Fréquence","Clics","Conversions (achats)","Budget dépensé (€)","Revenu estimé (€)","ROAS","CPM (€)","Coût par clic (€)","Taux de clic (%)","Coût par conversion (€)","Taux de conversion (%)","Hook rate (%)","Panier moyen (€)","Lien aperçu","ID Ad Set","ID Annonce"
"Vitamine D3+K2 - Podcast - Les 3 raisons pour lesquelles ... - 1","Vitamine D3+K2","Ava_Balance","Podcast","Nutrition optimale","Les 3 raisons pour lesquelles j'adore","45-54 ans Wellness","Octobre 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","En ligne","2025-10-23","271719","370426","1.36","15211","991","665.23","96692.36","145.35","1.8","0.04","4.11","0.67","6.52","52.65","97.57","https://www.facebook.com/ads/library/?id=ad_425992","as_818567","ad_425992"
"Shaker - Podcast - Je ne peux plus m'en passer... - 2","Shaker","Zoe_Energy","Podcast","Nutrition optimale","Je ne peux plus m'en passer","18-24 ans Étudiants","Octobre 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Octobre 2025","En pause","2025-10-14","265549","363811","1.37","15825","81","183.41","7988.33","43.55","0.5","0.01","4.35","2.26","0.51","27.04","98.62","https://www.facebook.com/ads/library/?id=ad_968164","as_807333","ad_968164"
"AG1 Powder - Image statique - Mon secret énergie révélé... - 3","AG1 Powder","Zoe_Energy","Image statique","Immunité renforcée","Mon secret énergie révélé","25-34 ans Fitness","Octobre 2025","25-34 ans Fitness - AG1 Powder","Campagne AG1 Powder Octobre 2025","En pause","2025-10-07","18445","20534","1.11","595","58","3092.28","8511.87","2.75","150.59","5.2","2.9","53.32","9.75","44.77","146.76","https://www.facebook.com/ads/library/?id=ad_762476","as_539446","ad_762476"
"Bundle Complet - Motion/Vidéo - 30 jours de transformation... - 4","Bundle Complet","Noah_Vitality","Motion/Vidéo","Bien-être général","30 jours de transformation","45-54 ans Wellness","Juillet 2025","45-54 ans Wellness - Bundle Complet","Campagne Bundle Complet Juillet 2025","En pause","2025-07-25","26646","39091","1.47","130","7","701.45","658.43","0.94","17.94","5.4","0.33","100.21","5.38","16.8","94.06","https://www.facebook.com/ads/library/?id=ad_280170","as_283410","ad_280170"
"Omega-3 - Image statique - Ce que je prends chaque matin... - 5","Omega-3","Sophia_Wellness","Image statique","Bien-être général","Ce que je prends chaque matin","25-34 ans Fitness","Août 2025","25-34 ans Fitness - Omega-3","Campagne Omega-3 Août 2025","En pause","2025-08-13","11782","16694","1.42","752","2","1720.95","233.01","0.14","103.09","2.29","4.5","860.47","0.27","58.45","116.50","https://www.facebook.com/ads/library/?id=ad_310919","as_765656","ad_310919"
"AG1 Travel Packs - Motion/Vidéo - Je ne peux plus m'en passer... - 6","AG1 Travel Packs","Ava_Balance","Motion/Vidéo","Bien-être général","Je ne peux plus m'en passer","Intérêt Nutrition","Août 2025","Intérêt Nutrition - AG1 Travel Packs","Campagne AG1 Travel Packs Août 2025","En ligne","2025-08-11","203244","298646","1.47","1266","118","3194.19","16419.17","5.14","10.7","2.52","0.42","27.07","9.32","48.08","139.15","https://www.facebook.com/ads/library/?id=ad_154512","as_531028","ad_154512"
"AG1 Travel Packs - Image statique - Le seul complément dont j'ai b... - 7","AG1 Travel Packs","Zoe_Energy","Image statique","Immunité renforcée","Le seul complément dont j'ai besoin","Broad FR","Octobre 2025","Broad FR - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","En pause","2025-10-09","9966","11878","1.19","353","33","1385.26","4897.95","3.54","116.62","3.92","2.97","41.98","9.35","20.76","148.42","https://www.facebook.com/ads/library/?id=ad_273875","as_456663","ad_273875"
"Bundle Complet - Témoignage - Le matin parfait commence par.... - 8","Bundle Complet","Chris_Endurance","Témoignage","Performance sportive","Le matin parfait commence par...","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - Bundle Complet","Campagne Bundle Complet Septembre 2025","En pause","2025-09-12","141396","184205","1.3","1665","32","3398.76","4495.76","1.32","18.45","2.04","0.9","106.21","1.92","31.82","140.49","https://www.facebook.com/ads/library/?id=ad_993997","as_142387","ad_993997"
"Omega-3 - UGC - Le seul complément dont j'ai b... - 9","Omega-3","Emma_Health","UGC","Performance sportive","Le seul complément dont j'ai besoin","LAL Purchasers","Novembre 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Novembre 2025","En ligne","2025-11-06","101722","123452","1.21","2122","57","4399.57","7222.18","1.64","35.64","2.07","1.72","77.19","2.69","35.31","126.70","https://www.facebook.com/ads/library/?id=ad_862225","as_414726","ad_862225"
"Shaker - Podcast - Les 3 raisons pour lesquelles ... - 10","Shaker","Olivia_Green","Podcast","Nutrition optimale","Les 3 raisons pour lesquelles j'adore","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Septembre 2025","En pause","2025-09-21","111640","138452","1.24","5245","171","862.90","23375.96","27.09","6.23","0.16","3.79","5.05","3.26","52.5","136.70","https://www.facebook.com/ads/library/?id=ad_228754","as_670294","ad_228754"
